Event,Average Age
"Fencing Men's Sabre, Individual, Fencing Men's Sabre, Team, Fencing Men's epee, Team",30.0
"Shooting Men's Trap, Shooting Men's Trap, Team",30.0
"Shooting Men's Free Rifle, Three Positions, 300 metres, Shooting Men's Small-Bore Rifle, Three Positions, 50 metres, Shooting Mixed Small-Bore Rifle, Prone, 50 metres, Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",30.0
"Athletics Women's 4 x 100 metres Relay, Athletics Women's Long Jump, Athletics Women's Triple Jump",30.0
"Athletics Men's 200 metres, Cycling Men's Road Race, Individual",30.0
"Athletics Men's Discus Throw, Athletics Men's Javelin Throw, Freestyle, Athletics Men's Shot Put, Tug-Of-War Men's Tug-Of-War, Wrestling Men's Heavyweight, Freestyle, Wrestling Men's Heavyweight, Greco-Roman",30.0
"Athletics Women's 4 x 100 metres Relay, Athletics Women's High Jump, Athletics Women's Javelin Throw",30.0
"Athletics Men's 1,500 metres, Athletics Men's 800 metres, Judo Men's Extra-Lightweight",30.0
"Wrestling Men's Bantamweight, Freestyle, Wrestling Men's Bantamweight, Greco-Roman, Wrestling Men's Featherweight, Greco-Roman",30.0
"Athletics Women's 4 x 100 metres Relay, Athletics Women's 80 metres Hurdles, Athletics Women's Discus Throw",30.0
"Athletics Men's 10,000 metres, Athletics Men's 5,000 metres, Weightlifting Men's Middleweight",30.0
"Biathlon Men's 20 kilometres, Biathlon Men's 4 x 7.5 kilometres Relay, Cross Country Skiing Men's 30 kilometres, Cross Country Skiing Men's 4 x 10 kilometres Relay, Cross Country Skiing Men's 50 kilometres",30.0
Shooting Men's Skeet,29.98
Shooting Women's Trap,29.9
"Shooting Men's Rapid-Fire Pistol, 25 metres, Shooting Mixed Rapid-Fire Pistol, 25 metres",29.73
"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Shooting Men's Small-Bore Rifle, Three Positions, 50 metres, Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",29.67
"Sailing Mixed One Person Dinghy, Sailing Mixed Three Person Keelboat",29.6
"Equestrianism Men's Three-Day Event, Individual, Equestrianism Men's Three-Day Event, Team, Equestrianism Mixed Jumping, Individual, Equestrianism Mixed Jumping, Team",29.6
"Sailing Men's Skiff, Sailing Mixed Multihull",29.5
"Equestrianism Men's Three-Day Event, Individual",29.5
"Athletics Men's 100 metres, Bobsleigh Men's Four, Bobsleigh Men's Two",29.5
"Fencing Men's Foil, Individual, Fencing Men's Sabre, Individual, Fencing Men's epee, Individual",29.43
"Shooting Men's Free Pistol, 50 metres, Shooting Mixed Free Pistol, 50 metres, Shooting Mixed Rapid-Fire Pistol, 25 metres",29.33
"Shooting Men's Free Rifle, Three Positions, 300 metres, Shooting Men's Small-Bore Rifle, Three Positions, 50 metres, Shooting Mixed Small-Bore Rifle, Prone, 50 metres",29.33
"Shooting Women's Sporting Pistol, 25 metres",29.29
"Cycling Women's Individual Pursuit, 3,000 metres, Cycling Women's Individual Time Trial, Cycling Women's Road Race, Individual",29.25
"Shooting Women's Double Trap, Shooting Women's Trap",29.19
Athletics Women's Marathon,29.18
Curling Women's Curling,29.08
Skeleton Men's Skeleton,29.0
"Shooting Men's Skeet, Shooting Mixed Skeet, Shooting Mixed Trap",29.0
"Athletics Men's 20 kilometres Walk, Athletics Men's Marathon",29.0
"Canoeing Men's Canadian Singles, 1,000 metres, Canoeing Men's Canadian Singles, 200 metres, Canoeing Men's Kayak Singles, 1,000 metres, Canoeing Men's Kayak Singles, 500 metres",29.0
"Biathlon Men's 10 kilometres Sprint, Biathlon Men's 4 x 7.5 kilometres Relay, Cross Country Skiing Men's Sprint",29.0
"Fencing Men's Foil, Individual, Fencing Men's Sabre, Team, Fencing Men's epee, Individual, Fencing Men's epee, Team",29.0
"Biathlon Men's 10 kilometres Sprint, Biathlon Men's 20 kilometres, Cross Country Skiing Men's 30 kilometres",29.0
"Biathlon Men's 10 kilometres Sprint, Biathlon Men's 20 kilometres, Cross Country Skiing Men's 10/10 kilometres Pursuit, Cross Country Skiing Men's Sprint",29.0
"Shooting Men's Free Rifle, Three Positions, 300 metres, Shooting Men's Small-Bore Rifle, Three Positions, 50 metres, Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",29.0
"Athletics Men's 20 kilometres Walk, Athletics Men's Pole Vault",29.0
"Rowing Men's Coxed Eights, Swimming Men's 200 metres Butterfly, Swimming Men's 4 x 100 metres Medley Relay",29.0
"Wrestling Men's Light-Heavyweight, Greco-Roman, Wrestling Men's Middleweight, Freestyle, Wrestling Men's Middleweight, Greco-Roman, Wrestling Men's Welterweight, Freestyle",29.0
"Wrestling Men's Featherweight, Freestyle, Wrestling Men's Lightweight, Greco-Roman",29.0
"Alpine Skiing Men's Giant Slalom, Alpine Skiing Men's Slalom, Alpine Skiing Men's Super G, Athletics Men's Marathon",29.0
"Swimming Men's 100 metres Butterfly, Swimming Men's 100 metres Freestyle, Swimming Men's 200 metres Freestyle, Swimming Men's 200 metres Individual Medley",29.0
"Athletics Women's 4 x 400 metres Relay, Taekwondo Women's Heavyweight",29.0
"Sailing Mixed Multihull, Sailing Mixed Two Person Keelboat",29.0
"Cross Country Skiing Women's 10 kilometres, Cross Country Skiing Women's 4 x 5 kilometres Relay, Cross Country Skiing Women's 5/5 kilometres Pursuit",29.0
"Athletics Men's Discus Throw, Athletics Men's Javelin Throw",29.0
"Athletics Men's Discus Throw, Athletics Men's Javelin Throw, Freestyle",29.0
"Athletics Men's 1,500 metres, Athletics Men's 3 mile, Team, Athletics Men's 5 mile",29.0
"Ice Hockey Men's Ice Hockey, Rowing Men's Double Sculls",29.0
"Athletics Men's Marathon, Wrestling Men's Lightweight, Freestyle, Wrestling Men's Lightweight, Greco-Roman",29.0
"Athletics Men's Shot Put, Badminton Mixed Doubles",29.0
"Athletics Men's Shot Put, Handball Men's Handball",29.0
"Judo Men's Half-Heavyweight, Judo Men's Open Class, Wrestling Men's Middleweight, Freestyle, Wrestling Men's Middleweight, Greco-Roman",29.0
"Rowing Men's Coxed Eights, Rowing Men's Coxless Pairs, Rowing Men's Lightweight Coxless Fours",29.0
"Modern Pentathlon Men's Individual, Modern Pentathlon Men's Team, Shooting Men's Rapid-Fire Pistol, 25 metres",29.0
"Rowing Men's Lightweight Double Sculls, Water Polo Men's Water Polo",29.0
"Water Polo Men's Water Polo, Weightlifting Men's Lightweight",29.0
"Athletics Women's 1,500 metres, Athletics Women's 800 metres, Athletics Women's Marathon",29.0
"Athletics Women's 1,500 metres, Gymnastics Women's Balance Beam, Gymnastics Women's Floor Exercise, Gymnastics Women's Horse Vault, Gymnastics Women's Individual All-Around, Gymnastics Women's Team All-Around, Gymnastics Women's Team Portable Apparatus, Gymnastics Women's Uneven Bars",29.0
"Athletics Men's Cross-Country, Individual, Athletics Men's Marathon",29.0
"Sailing Mixed One Person Dinghy, Sailing Mixed Two Person Heavyweight Dinghy, Sailing Mixed Two Person Keelboat",29.0
